exercise,"운동, 운동[체조], 연습문제"
boy,"소년, 아들, 남자[소년]"
introduce,"소개하다, 진행하다, 소개하다[접하게 하다]"
near,"가까운, 비슷한, 거의 …라고 할 수 있는"
earth,"지구, 땅, 흙, 굴, 접지"
blue,"파란, 새파래진, 우울한"
fish,"물고기, 물고기[생선]"
oil,"석유[기름], 기름[석유]"
shape,"모양, 형체[형상/모습]"
box,"상자, 상자[통], 특별석"
sugar,설탕
season,"계절, 건기/우기/우기, 철[시즌/-기]"
sun,"해, 햇볕, 항성"
surprise,"놀라게 하다, 기습하다"
park,"공원, 지역[단지], 경기장"
front,"앞면[앞부분], 앞쪽"
quick,(재)빠른[신속한]
gas,"기체, 가스, 독가스"
train,"기차, 무리[일행], 연속"
key,"열쇠, 비결[열쇠/실마리]"
dead,"죽은, 더 이상 믿어지지[추구되지] 않는"
hide,"감추다[숨기다], 숨다"
farm,"농장, 농가, 사육[양식]장"
kitchen,"부엌, 주방"
west,"서쪽, 서양, 서부, 서방[서구]"
cry,"울다, 외치다"
clean,"깨끗한, 깔끔한, 깨끗한[맑은]"
dress,"옷을 입다[입히다], 옷을 입다[옷차림을 하다]"
touch,"만지다[건드리다], 닿다"
strange,"이상한, 낯선"
marry,"결혼하다, 주례하다, 결합시키다"
finger,"손가락, 손가락 부분, 길쭉한 것"
station,"역, 정거장[정류장], 방송국"
hello,hello하고 부르는 소리[인사]
fair,"타당한, 공정한, 상당한"
danger,"위험, 위험한 사람[물건/일]"
shall,"…일[할] 것이다, …일[할] 것이다"
tall,"키가 큰, 키가 …인"
island,"섬, 안전지대"
cat,"고양이, 고양잇과 동물"
roll,"통, 둥근 빵, 뒹굴기"
waste,"낭비하다, 헛되이 주다[쓰다/하다]"
chicken,"닭, 닭고기"
television,텔레비전
taste,"맛, 미각, 시식[맛보기]"
egg,"알, 달걀, 난자"
sweet,"달콤한, 달콤한 향기가 나는"
fix,"고정시키다[박다], 정하다"
salt,"소금, 염, 염제"
band,"밴드, 악단[악대], 무리"
board,"판자, -판[-대], 이사회"
warm,"따뜻한, 따뜻한, 근접한[다 맞혀 가는]"
hurt,"다치게[아프게] 하다, 아프다"
wide,"넓은, 폭이 …인, 폭넓은"
club,"클럽, 클럽실, 클럽[구단]"
count,"세다, 총 수를 세다"
shoe,신
weather,"날씨, 일기 예보"
ride,"타다[몰다], 말 타러[승마하러] 가다"
heavy,"무거운, 많은[심한], 육중한"
angry,"화난, 성이 난"
meat,"고기, 골자"
speed,"속도, 감, 셔터 작동 속도"
fresh,"신선한, 새로 생긴, 새로운"
wood,"나무, 숲, 나무 공, 우든 클럽"
burn,"타오르다, 불에 타다, 태우다"
tea,"찻잎, 홍차, 홍차 한 잔"
jump,"뛰다, 뛰어넘다, 벌떡 일어서다"
cool,"시원한, 시원한, 차분한"
hospital,병원
horse,"말, 경마"
hole,"구덩이, 구멍, 굴[구멍]"
brother,"형, 형제, 수도사, 남학생 클럽 회원"
hate,몹시 싫어하다[질색하다]
dance,"춤을 추다, 춤을 추듯 움직이다"
daughter,"딸, 여식"
vegetable,"채소, 식물인간, 단조롭게 사는 사람"
rain,"비, 우기, 쏟아지는 것"
quiet,"조용한, 조용한[한산한]"
usual,"하는[있는], 늘 있는 일"
cheap,"싼, 값싼, 천박한, 하찮은"
pair,"쌍[짝], 한 쌍, 한 쌍[두 마리]"
slow,"느린, 완행의, 미적거리는"
address,"주소, 어드레스, 연설, 호칭"
fruit,"과일, 열매"
repeat,"반복하다, 반복[되풀이]하다"
fat,"뚱뚱한, 두툼한, 많은"
fun,"재미[즐거움], 장난"
Winter,겨울
dinner,"식사[밥], 만찬"
soft,"부드러운, 연한[무른]"
stone,"돌, 돌멩이, 비석, 보석용 원석"
smell,"냄새, 냄새, 후각, 냄새 맡기"
sky,하늘
lunch,점심
east,"동쪽, 동부, 동양, 동구권"
lesson,"수업[교습/교육] , 과"
garden,"뜰, 정원, 공원, 가든"
tooth,"이, 이 모양의 것"
beautiful,"아름다운, 멋진"
